opportunity_id,company_id,title,entry_route,level,role_family,description,typical_quals,useful_projects,application_tips,source
VOP03711,VAC12B813F6,L4 Cyber Security Technologist Apprentice (Modux Ltd),apprenticeship,Higher Level 4 (Higher national certificate),software,"Security Monitoring: Assist in monitoring network traffic and security alerts for potential threats or anomalies.  Incident Response: Participate in the investigation and resolution of security incidents, including documenting findings and recommending preventive measures.  Vulnerability Assessment: Support in conducting regular vulnerability assessments and penetration tests to identify potent...","Problem solving skills,Analytical skills,Team working,Time management skills,Resilience,Eager to learn,Passion for Cyber Security",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03712,VACC8CFB46C,Apprentice Civil Engineer,apprenticeship,Degree Level 6 (Degree with honours),technician,"The apprentice will work under the supervision of several engineers and BIM technicians on the delivery of Civil engineering projects. They will be involved with projects for a variety of clients to help achieve their objectives and improve the quality of life of their customers.   Typical tasks and activities include:     Contributing to designs, calculations, sketches, diagrams, schematic dra...","Communication skills,Attention to detail,Organisation skills,Problem solving skills,Presentation skills,Number skills,Analytical skills,Logical,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03713,VAC98BA3B04,Trainee Design Engineer Higher Apprentice - Bristol,apprenticeship,Higher Level 4 (Higher national certificate),engineer_ops,"Assist in designing substations operating at voltages up to 132,000 volts..  Develop layouts and configurations for physical substation components (e.g., transformers, switchgear, busbars)..  Create detailed project-specific designs, drawings, and specifications..  Prepare schedules and bills of materials for equipment and installations..  Ensure compliance with operational standards and safety...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Number skills,Analytical skills,Logical,Team working,Initiative,Adventurous,Safety awareness,Re",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03714,VAC98BA3B04,Overhead Lines Advanced Apprentice - Gloucester,apprenticeship,Advanced Level 3 (A level),admin,"Overhead Linespersons are overhead line engineers who work at height constructing, maintaining, testing, repairing and replacing overhead lines and equipment.     You will represent National Grid and carry out work handed down by other areas of the business.    Join us, and we&rsquo;ll see you participate in craft skills activities on the live LV network, on dead LV, HV and EHV circuits (live H...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Logical,Team working,Physical fitness,Adventurous,Safety awareness,Resilient",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03715,VAC98BA3B04,Jointer Advanced Apprentice - Bristol,apprenticeship,Advanced Level 3 (A level),admin,"You will represent National Grid and carry out work handed down by other areas of the business.    Join us, and we&rsquo;ll see you participate in craft skills activities on the LV, HV and EHV (Low, High & Extremely high voltage) network. You&rsquo;ll help with network operations, connect generators and services and organise your own projects. You&rsquo;ll also:      Construct distribution subs...","Communication skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Logical,Team working,Physical fitness,Adventurous,Safety awareness,Resilient",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03716,VACDBD3F8A0,Pharmacy Assistant Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),care,Pharmacy Assistant Apprenticeship - [Gloucester].  Gain experience in retail.  Learn about over-the-counter medicines.  Assist in dispensing prescription medicines.  Order pharmaceutical stock.  Advise customers on over-the-counter medication .  Assist with minor ailments.,"Communication skills,Non judgemental,Organisation skills,Patience,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03717,VACDBD3F8A0,Pharmacy Assistant Apprenticeship,apprenticeship,Intermediate Level 2 (GCSE),care,Pharmacy Assistant Apprenticeship - [Gloucester] Gain experience in retail Learn about over-the-counter medicines Assist in dispensing prescription medicines Order pharmaceutical stock Advise customers on over-the-counter medication  Assist with minor ailments,"Communication skills,Non judgemental,Organisation skills,Patience,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03718,VACDBD3F8A0,Pharmacy Technician Apprenticeship,apprenticeship,Advanced Level 3 (A level),care,"Pharmacy Technician Apprenticeship &ndash; [Gloucester].     Achieve the best possible outcome through a person&rsquo;s medicines by managing, ordering, receiving, maintaining and supplying medicines and other pharmaceutical products safely, legally and effectively, whilst meeting the regulatory standards..  Provide person-centred health advice to all patients, whether on prescription or over t...","Attention to detail,Communication skills,Customer care skills,Initiative,Non judgemental,Organisation skills,Patience,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03719,VACA6E14CB5,Graduate Solicitor Apprenticeship,apprenticeship,Degree Level 7 (Master's degree),admin,"You will be based in either our Bristol or Exeter offices and working within one of our exceptional legal teams. During the apprenticeship, you&rsquo;ll work in the firm for four days and have one day a week to study for your law essentials course (if applicable) and SQE at The University of Law. The apprenticeship enables you to put the theory that you learn into practice right away. And, at t...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03720,VACA6E14CB5,Graduate Solicitor Apprenticeship,apprenticeship,Degree Level 7 (Master's degree),admin,"You will be based in either our Bristol or Exeter offices and working within one of our exceptional legal teams. During the apprenticeship, you&rsquo;ll work in the firm for four days and have one day a week to study for your law essentials course (if applicable) and SQE at The University of Law. The apprenticeship enables you to put the theory that you learn into practice right away. And, at t...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03721,VACA6E14CB5,Administration / Office Assistant Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"In this role you will provide efficient and effective administrative support as part of the Firm's central Admin team. This will include:     Maintaining client records and updating new client enquiries for follow-up.  Photocopying, scanning, printing of documents.  Assisting with the preparation of client correspondence for postage.  Assisting other team members with maintaining essential reco...","Communication skills,IT skills,Attention to detail,Organisation skills,Problem solving skills,Administrative skills,Analytical skills,Logical,Team working,Creative,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03722,VACAA22051C,Apprentice Chef,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"It's time to turn up the heat! Turn your hand to new skills or showcase existing ones. In our kitchens you'll be part of a team that is obsessed with creating great experiences for our guests.   Our kitchen is where it's at: With your proactive and positive mindset, you'll be right at home in our buzzing kitchen. Whether you're prepping for the next service, or plating up great pub classics - s...","Team Working,Organisation Skills",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03723,VACC910EE38,information communications Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Both a logical, methodical approach to work, along with a practical and physical requirement. One day could be investigating and diagnosing a network fault, and the next could be installing a CCTV camera from a cherry picker..  As technical support, your key role is to maintain and operate the systems we use every day, along with implementing and improving systems and procedures as the role pro...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Logical,Team working,Creative,Initiative,Non ",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03724,VACC910EE38,information communications Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Both a logical, methodical approach to work, along with a practical and physical requirement. One day could be investigating and diagnosing a network fault, and the next could be installing a CCTV camera from a cherry picker..  As technical support, your key role is to maintain and operate the systems we use every day, along with implementing and improving systems and procedures as the role pro...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Logical,Team working,Creative,Initiative,Non ",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03725,VACC910EE38,information communications Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Both a logical, methodical approach to work, along with a practical and physical requirement. One day could be investigating and diagnosing a network fault, and the next could be installing a CCTV camera from a cherry picker..  As technical support, your key role is to maintain and operate the systems we use every day, along with implementing and improving systems and procedures as the role pro...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Analytical skills,Logical,Team working,Creative,Initiative,Non ",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03726,VACE5F32CCE,Apprentice Accounts Administrator,apprenticeship,Intermediate Level 2 (GCSE),admin,Undertake the AAT Apprenticeship.  Attend of the Job Training one a week.  Assist the team with income postings.  Credit Control.  Matching and processing supplier invoices.  Expense and credit card processing.  Assist with bank reconciliations.,"Attention to detail,A good multitasker,Logical and methodical problem",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03727,VACDE9EB4F5,Management Consulting Apprenticeship - Bristol,apprenticeship,Higher Level 4 (Higher national certificate),admin,"You&rsquo;ll typically find yourself working as part of a team of anything from 2 to 30 people or more. Our client projects are resourced nationally, so travelling and living away from home may be required. When you are not on a project you are expected to be based out of your home office..  You&rsquo;ll spend a lot of time with clients at their base locations dealing with issues as they arise,...","Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Number skills,Analytical skills,Logical,Tea",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03728,VAC6DAAE04F,Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Daily duties:     Preparing and cooking a high quality, well presented and appropriate food offer as per the menu.  To ensure excellent and enduring standards of both food hygiene/safety and personal.  Assisting with effective stock management including stock rotation and maintaining appropriate stock levels as directed by the Head Chef and Sous Chef.  To ensure that customer expectations are s...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03729,VAC6DAAE04F,Trainee Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Daily duties:     Preparing and cooking a high quality, well presented and appropriate food offer as per the menu.  To ensure excellent and enduring standards of both food hygiene/safety and personal.  Assisting with effective stock management including stock rotation and maintaining appropriate stock levels as directed by the Head Chef and Sous Chef.  To ensure that customer expectations are s...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03730,VAC6DAAE04F,Trainee Chef Apprentice,apprenticeship,Intermediate Level 2 (GCSE),customer_success,"Daily duties:     Preparing and cooking a high quality, well presented and appropriate food offer as per the menu.  To ensure excellent and enduring standards of both food hygiene / safety and personal.  Assisting with effective stock management including stock rotation and maintaining appropriate stock levels as directed by the Head Chef and Sous Chef.  To ensure that customer expectations are...","Communication skills,Attention to detail,Customer care skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03731,VACF1B1AF3C,IT Support Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Duties:      Provide excellent first line IT support to the user community.  Work with the Senior ICT Technician and Network Manager to resolve ICT helpdesk issues in a timely and efficient manner.  Carry out a programme of repairs and maintenance in order to ensure the working order of ICT related resources.  Assist school staff in configuring workstations and systems to ensure effectiveness. ...,"Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03732,VACF1B1AF3C,IT Support Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Duties:      Provide excellent first line IT support to the user community.  Work with the Senior ICT Technician and Network Manager to resolve ICT helpdesk issues in a timely and efficient manner.  Carry out a programme of repairs and maintenance in order to ensure the working order of ICT related resources.  Assist school staff in configuring workstations and systems to ensure effectiveness. ...,"Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03733,VACF1B1AF3C,ICT Apprentice Technician,apprenticeship,Advanced Level 3 (A level),admin,Work with the Senior ICT Technician and Network Manager to resolve ICT helpdesk issues in a timely and efficient manner.  Carry out a programme of repairs and maintenance in order to ensure the working order of ICT related resources.  Assist school staff in configuring workstations and systems to ensure effectiveness.  Adding and updating inventory records of all ICT equipment.  Assisting with ...,"Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03734,VACA0A3E45C,Teaching Assistant Apprentice,apprenticeship,Advanced Level 3 (A level),teaching_support,"The duties will depend on your experience and training. Generally, you'll need to:     Deliver tailored teaching activities to pupils on either a one-to-one basis or in small groups..  Make sure that the pupils you support can engage in learning and stay on task during the lesson or activity..  Support the social and emotional development of pupils, reporting any issues when required..  Support...","Communication skills,IT skills,Attention to detail,Organisation skills,Administrative skills,Number skills,Team working,Creative,Initiative,Non judgemental,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03735,VACA0A3E45C,Teaching Assistant Apprentice,apprenticeship,Advanced Level 3 (A level),teaching_support,"The duties will depend on your experience and training. Generally, you'll need to:   &middot;       Deliver tailored teaching activities to pupils on either a one-to-one basis or in small groups.   &middot;       Make sure that the pupils you support can engage in learning and stay on task during the lesson or activity.   &middot;       Support the social and emotional development of pupils, re...","Communication skills,IT skills,Attention to detail,Organisation skills,Administrative skills,Number skills,Team working,Creative,Initiative,Non judgemental,Patience",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03736,VACC8A30E1E,IT Support Technician Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Monitor the service desk mailbox and unassigned queue when assigned the task to ensure that emails and requests are actioned and responded to in a timely manner and adhere to any SLA&rsquo;s set.  Call/chat handling for all inbound customer contact to support new and existing ticket requests.  Assist in creating new or updating existing documentation.  Log all tickets and service requests repor...,"Communication skills,IT skills,Customer care skills,Analytical skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03737,VACC8A30E1E,IT Service Desk Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Monitor the service desk mailbox and the unassigned queue when assigned the task to ensure that emails and requests are actioned and responded to in a timely manner and adhere to any SLA&rsquo;s set.  Call/chat handling for all inbound customer contact to support new and existing ticket requests.  Complete additional tasks as defined by the service desk management.  Be able to undertake any wor...,"Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03738,VAC63B08413,Apprentice Equine Groom,apprenticeship,Intermediate Level 2 (GCSE),field_ops,"Experienced rider required to join the friendly team at Gallagher Racing.  They are a small, successful, family run, flat racing stables in the Cotswolds.    As the successful applicant, you should be;     Expecting to ride 2 to 4 horses a day.  Mucking out.  Get horses ready for riding out.  Tacking up.  Looking after tack.  All general horse care.","Communication skills,Organisation skills,Team working,Initiative,Physical fitness",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03739,VAC63B08413,Apprentice Equine Groom,apprenticeship,Intermediate Level 2 (GCSE),field_ops,"Experienced rider required to join the friendly team at Gallagher Racing.  They are a small, successful, family run, flat racing stables in the Cotswolds.    As the successful applicant, you should be;     Expecting to ride 2 to 4 horses a day.  Mucking out.  Get horses ready for riding out.  Tacking up.  Looking after tack.  All general horse care.","Communication skills,Organisation skills,Team working,Initiative,Physical fitness",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03740,VAC9ED7B917,Apprentice Dental Nurse - Cheddar,apprenticeship,Advanced Level 3 (A level),admin,"Provide efficient and reliable chair-side support to the dental surgery.   The day-to-day duties of a dental nurse can span across all areas of the practice and can include:     Reception, including answering the phone and greeting patients.  Dealing with patient queries.  Taking payments.  Booking appointments and follow-ups.  Sterilising and preparing equipment for dentists.  Recording and de...","Communication skills,Organisation skills,Customer care skills,Problem solving skills,Administrative skills,Team working,Non judgemental,Patience,Patient Care",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03741,VAC9ED7B917,Dental Nurse Apprentice,apprenticeship,Advanced Level 3 (A level),care,The role of a Dental Nurse is to assist the dentist with all clinical aspects within the surgery.   This includes but is not exhausted to:     Greeting and caring for all patients in a polite and courteous manner at all times.  Work closely with the dentist in a professional and appropriate manner.  Provide chair side assistance during all dental procedures.  Update computer records and taking ...,"Communication skills,Attention to detail,Customer care skills,Administrative skills,Team working,Initiative,Non judgemental,Patience,Reliable,Hard working,Keen to learn,Calm and confident,Experience i",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03742,VAC9ED7B917,Dental Nurse Apprentice,apprenticeship,Advanced Level 3 (A level),care,The role of a Dental Nurse is to assist the dentist with all clinical aspects within the surgery.   This includes but is not exhausted to:     Greeting and caring for all patients in a polite and courteous manner at all times.  Work closely with the dentist in a professional and appropriate manner.  Provide chair side assistance during all dental procedures.  Update computer records and taking ...,"Communication skills,Attention to detail,Customer care skills,Administrative skills,Team working,Initiative,Non judgemental,Patience,Reliable,Hard working,Keen to learn,Calm and confident,Experience i",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03743,VAC65D83C71,Early Years Level 2 Apprenticeship - The Bluebell Nursery,apprenticeship,Intermediate Level 2 (GCSE),teaching_support,"As an apprentice you will be a key member of the nursery team, your duties may include:     Planning and delivering fun and educational activities with the children.  Play alongside and with children to support their play.  Contribute to children&rsquo;s records through observation.  Assist with the supervision of children at rest times and at mealtimes.  Contribute in creating a safe, happy en...","Communication skills,Creative,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03744,VAC65D83C71,Early Years Level 3 Apprenticeship - The Bluebell Nursery,apprenticeship,Advanced Level 3 (A level),teaching_support,"As a level 3 apprentice you will be a key member of the nursery team, your daily activities may include:     Planning and implementing fun and educational activities with the children .  Play alongside and with children to support their play.  Supporting children&rsquo;s creative and imaginative experiences .  Maintaining development records on key children .  Supervising children at rest times...","Communication skills,Team working,Creative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03745,VACF311A993,Business Support Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Communicate and handle incoming and outgoing e-mail on behalf of the company.  Obtain and prepare quotes.  Chase suppliers for quotes and delivery information.  Administrate customer renewals and process orders.  Answer phones promptly and efficiently.  Update and manage the company&rsquo;s database; Salesforce.  Assist team members with requests.  Chase invoice payments and update CRM.  Create...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Logical,Team working,Creative,Initiative,Ca",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03746,VACF311A993,Business Support Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Communicate and handle incoming and outgoing e-mail on behalf of the company.  Obtain and prepare quotes.  Chase suppliers for quotes and delivery information.  Administrate customer renewals and process orders.  Answer phones promptly and efficiently.  Update and manage the company&rsquo;s database; Salesforce.  Assist team members with requests.  Chase invoice payments and update CRM.  Create...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Logical,Team working,Creative,Initiative,Ca",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03747,VACF311A993,Business Support Apprentice,apprenticeship,Advanced Level 3 (A level),admin,Communicate and handle incoming and outgoing e-mail on behalf of the company.  Obtain and prepare quotes.  Chase suppliers for quotes and delivery information.  Administrate customer renewals and process orders.  Answer phones promptly and efficiently.  Update and manage the company&rsquo;s database; Salesforce.  Assist team members with requests.  Chase invoice payments and update CRM.  Create...,"Communication skills,IT skills,Attention to detail,Organisation skills,Customer care skills,Problem solving skills,Presentation skills,Administrative skills,Logical,Team working,Creative,Initiative,Ca",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03748,VAC3050CEA0,Apprentice Autocare Technician,apprenticeship,Intermediate Level 2 (GCSE),engineer_ops,"As an apprentice you will learn all the skills to become a top Autocare Technician with a fantastic range of future career options ahead of you. You will use a range of tools, measuring and diagnostic equipment to identify & repair simple system faults.   Duties include:     Find and diagnose faults using hand tools or a computer.  Advise customers on what repairs are needed.  Estimate time and...","Attention to detail,Problem solving skills,Team working",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03749,VAC3050CEA0,Apprentice Customer Service Parts Advisor,apprenticeship,Intermediate Level 2 (GCSE),admin,"We are looking for a driven individual to join our Customer Service team to assist in delivering an outstanding customer experience as first point of contact. As a customer service parts advisor, you will deliver exceptional customer service, maximise sales opportunities and gain excellent product knowledge.   Duties:     Promote good customer relations.  Identify accurately customer requiremen...","Attention to detail,Customer care skills,Problem solving skills,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03750,VAC3050CEA0,Apprentice Customer Service Parts Advisor,apprenticeship,Intermediate Level 2 (GCSE),admin,"We are looking for a driven individual to join our Customer Service team to assist in delivering an outstanding customer experience as first point of contact. As a customer service parts advisor, you will deliver exceptional customer service, maximise sales opportunities and gain excellent product knowledge.   Duties:     Promote good customer relations.  Identify accurately customer requiremen...","Attention to detail,Customer care skills,Problem solving skills,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03751,VAC69A9BAC9,Apprentice Cyber Security Assistant,apprenticeship,Advanced Level 3 (A level),software,"Your duties will include:      Data gathering to collect information to complete cyber security assessments..  Maintaining and updating methodologies and knowledge management hub..  Preparing client deliverables..  Researching and assessing the latest technology risk and cyberrisks/trends/solutions..  General office support .  Delivering components of cyber security audits, compliance checks an...","IT skills,Attention to detail,Organisation skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03752,VAC69A9BAC9,Apprentice Cyber Security Assistant,apprenticeship,Advanced Level 3 (A level),software,Your duties and responsibilities in this role will consist of:     Data gathering to collect information to complete cyber security assessments.  Maintaining and updating methodologies and knowledge management hub.  Preparing client deliverables.  Researching and assessing the latest technology risk and cyber risks/trends/solutions.  General office support.,"IT skills,Organisation skills,Problem solving skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03753,VAC69A9BAC9,Apprentice Cyber Security Assistant,apprenticeship,Advanced Level 3 (A level),software,Your duties and responsibilities in this role will consist of:     Data gathering to collect information to complete cyber security assessments..  Maintaining and updating methodologies and knowledge management hub..  Preparing client deliverables..  Researching and assessing the latest technology risk and cyber risks/trends/solutions..  General office support..,"IT skills,Organisation skills,Problem solving skills,Team working,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03754,VAC91836512,Apprentice Signage Technician,apprenticeship,Advanced Level 3 (A level),engineer_ops,"In addition to the Apprenticeship syllabus, you can expect to be involved in a range of tasks across the signage producion process, including: Recieveing hand-on training on both small and large format printers UNderstanding the culture, values and processes of the printing and graphic communication industry Recieving a printed product, such as vinyl, which needs to be weeded out and then appli...","Administrative skills,Analytical skills,Attention to detail,Communication skills,Creative,Customer care skills,Initiative,IT skills,Logical,Non judgemental,Number skills,Organisation skills,Patience,P",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03755,VACF918B234,Business Administration Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,"Key Responsibilities in the workplace:     General Office Support: Assist in day-to-day administrative tasks, including filing, data entry, and document organisation.  Communication: Answer phone calls, respond to emails, and interact with clients, stakeholders, and team members in a professional and courteous manner.  Record Keeping: Maintain accurate and organised records of documents, contra...","Communication skills,IT skills,Attention to detail,Enthusiasm,Professionalism,Positive Attitude",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03756,VACF918B234,Business Administration Apprenticeship,apprenticeship,Advanced Level 3 (A level),admin,"Key Responsibilities in the workplace:     General Office Support: Assist in day-to-day administrative tasks, including filing, data entry, and document organisation..  Communication: Answer phone calls, respond to emails, and interact with clients, stakeholders, and team members in a professional and courteous manner..  Record Keeping: Maintain accurate and organised records of documents, cont...","Communication skills,IT skills,Attention to detail,Enthusiasm,Professionalism,Positive Attitude",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03757,VAC9674CBF6,Adult Care Worker Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"Daily duties:     Provide sensitive care and support to ensure the well-being and dignity of clients and their families or carers.  Assist clients according to their personalised care plans, which may involve tasks such as bathing, dressing, oral care, eye care, catheter care, administering medication and managing pressure areas.  Collaborate and work with partners and professionals to provide ...","Communication skills,Attention to detail,Team working,Reliable",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03758,VAC9674CBF6,Business Admin Apprentice,apprenticeship,Advanced Level 3 (A level),admin,"Daily Duties     Answering phones, greeting all visitors to the office, keeping office space tidy and sundries stocked up..  Order and monitor stock levels for all equipment, uniform, PPE, stationery, and sundries.  .  Inputting data into databases and spreadsheets, processing and retrieving data as necessary..  Assisting colleagues with preparation of documents, reports and online forms..  Sup...","Communication skills,IT skills,Organisation skills,Customer care skills,Administrative skills,Analytical skills,Logical,Initiative",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03759,VAC9674CBF6,Adult Care Worker Apprentice,apprenticeship,Intermediate Level 2 (GCSE),care,"Daily duties:     Provide sensitive care and support to ensure the well-being and dignity of clients and their families or carers.  Assist clients according to their personalized care plans, which may involve tasks such as bathing, dressing, oral care, eye care, catheter care, administering medication and managing pressure areas.  Collaborate and work with partners and professionals to provide ...","Communication skills,Attention to detail,Team working,Reliable",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
VOP03760,VACABAC474C,Network Engineer IT Apprentice,apprenticeship,Higher Level 4 (Higher national certificate),software,"Goods inwards &ndash; responsible for checking goods coming into the business. Working within predefined guidelines to confirm these goods match the exact requirements of purchase orders placed.  Testing and configuration &ndash; responsible for unpacking, setting up and initiating configuration to customers pre-determined specification of all new customer orders being prepared for installation...","Communication skills,IT skills,Attention to detail,Organisation skills,Team working,Non judgemental",Portfolio or course work linked to the standard; local work experience,Apply via Find an Apprenticeship; tailor CV to the standard and local employer,vacancies
